Assembly	lferriphilum.contigs
# misassemblies	1
  # contig misassemblies	1
    # c. relocations	1
    # c. translocations	0
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	1
Misassembled contigs length	2563357
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# mismatches	22
# indels	271
    # indels (<= 5 bp)	269
    # indels (> 5 bp)	2
Indels length	334
